Solution,Row#,Guesses
frame,3,"media[1, 1, 0, 0, 1]/ample[1, 1, 0, 0, 2]"
blood,3,"roast[0, 1, 0, 0, 0]/ommel[1, 0, 0, 0, 1]"
vinyl,4,"crate[0, 0, 0, 0, 0]/jouks[0, 0, 0, 0, 0]/blimy[0, 1, 1, 0, 1]"
radio,3,"adieu[1, 1, 1, 0, 0]/radii[2, 2, 2, 2, 1]"
omega,4,"drape[0, 0, 1, 0, 1]/hacek[0, 1, 0, 1, 0]/ament[1, 2, 2, 0, 0]"
wreak,6,"paint[0, 1, 0, 0, 0]/heals[0, 1, 1, 0, 0]/ameba[1, 0, 2, 0, 1]/freak[0, 2, 2, 2, 2]/creak[0, 2, 2, 2, 2]"
buggy,5,"react[0, 0, 0, 0, 0]/pubby[0, 2, 1, 1, 2]/bulls[2, 2, 0, 0, 0]/buddy[2, 2, 0, 0, 2]"
plain,4,"roast[0, 0, 2, 0, 0]/weamb[0, 0, 2, 0, 0]/glaik[0, 2, 2, 2, 0]"
ghost,4,"irate[0, 0, 0, 1, 0]/whoot[0, 2, 2, 1, 2]/shout[1, 2, 2, 0, 2]"
heard,2,"reast[1, 2, 2, 0, 0]"
ebony,5,"trace[0, 0, 0, 0, 1]/muses[0, 0, 0, 1, 0]/genip[0, 1, 1, 0, 0]/blend[1, 0, 1, 2, 0]"
umbra,3,"sired[0, 0, 1, 0, 0]/mhorr[1, 0, 0, 2, 1]"
brawl,5,"trace[0, 2, 2, 0, 0]/gravy[0, 2, 2, 0, 0]/wraps[1, 2, 2, 0, 0]/brawn[2, 2, 2, 2, 0]"
world,5,"drape[1, 1, 0, 0, 0]/odour[1, 1, 1, 0, 1]/sudor[0, 0, 1, 1, 1]/rorid[1, 2, 2, 0, 2]"
zebra,3,"reast[1, 2, 1, 0, 0]/neram[0, 2, 1, 1, 0]"
bosom,3,"tears[0, 0, 0, 0, 1]/disco[0, 0, 2, 0, 1]"
lumpy,4,"about[0, 0, 0, 1, 0]/undee[1, 0, 0, 0, 0]/lucky[2, 2, 0, 0, 2]"
plait,5,"prowl[2, 0, 0, 0, 1]/pells[2, 0, 1, 1, 0]/plunk[2, 2, 0, 0, 0]/plaza[2, 2, 2, 0, 1]"
deign,4,"snare[0, 1, 0, 0, 1]/vendu[0, 2, 1, 1, 0]/medin[0, 2, 1, 1, 2]"
blown,4,"salet[0, 0, 1, 0, 0]/plook[0, 2, 2, 1, 0]/blond[2, 2, 2, 1, 0]"
batch,4,"sired[0, 0, 0, 0, 0]/coxal[1, 0, 0, 1, 0]/yacht[0, 2, 1, 1, 1]"
acute,2,"sauce[0, 1, 2, 1, 2]"
slice,6,"worse[0, 0, 0, 1, 2]/spade[2, 0, 0, 0, 2]/styme[2, 0, 0, 0, 2]/singe[2, 1, 0, 0, 2]/seize[2, 1, 2, 0, 2]"
spoil,5,"sired[2, 1, 0, 0, 0]/swigs[2, 0, 1, 0, 1]/spahi[2, 2, 0, 0, 1]/split[2, 2, 1, 2, 0]"
puppy,6,"arise[0, 0, 0, 0, 0]/blunt[0, 0, 1, 0, 0]/muffy[0, 2, 0, 0, 2]/guppy[0, 2, 2, 2, 2]/yuppy[1, 2, 2, 2, 2]"
folio,4,"roast[0, 2, 0, 0, 0]/molly[0, 2, 2, 1, 0]/colon[0, 2, 2, 1, 0]"
rupee,3,"react[2, 1, 0, 0, 0]/rouse[2, 0, 1, 0, 2]"
trunk,4,"slate[0, 0, 0, 1, 0]/outgo[0, 1, 1, 0, 0]/truck[2, 2, 2, 0, 2]"
quote,5,"media[0, 1, 0, 0, 0]/howbe[0, 1, 0, 0, 2]/clove[0, 0, 2, 0, 2]/stone[0, 1, 2, 0, 2]"
brake,5,"reast[1, 1, 2, 0, 0]/crave[0, 2, 2, 0, 2]/grape[0, 2, 2, 0, 2]/drake[0, 2, 2, 2, 2]"
dowdy,6,"tears[0, 0, 0, 0, 0]/pinky[0, 0, 0, 0, 2]/boomy[0, 2, 1, 0, 2]/dodgy[2, 2, 1, 0, 2]/doyly[2, 2, 1, 0, 2]"
prong,5,"adieu[0, 0, 0, 0, 0]/loofs[0, 1, 2, 0, 0]/knock[0, 1, 2, 0, 0]/phony[2, 0, 2, 2, 0]"
ennui,5,"trace[0, 0, 0, 0, 1]/video[0, 1, 0, 1, 0]/kepis[0, 1, 0, 1, 0]/eying[2, 0, 1, 1, 0]"
cycle,3,"arise[0, 0, 0, 0, 2]/ploye[0, 1, 0, 1, 2]"
focus,4,"crane[1, 0, 0, 0, 0]/michi[0, 0, 2, 0, 0]/yucks[0, 1, 2, 0, 2]"
radii,4,"sauce[0, 2, 0, 0, 0]/ranny[2, 2, 0, 0, 0]/rapid[2, 2, 0, 2, 1]"
sunny,5,"about[0, 0, 0, 1, 0]/ruddy[0, 2, 0, 0, 2]/gunny[0, 2, 2, 2, 2]/nunny[1, 2, 2, 2, 2]"
plaza,5,"later[1, 1, 0, 0, 0]/shoal[0, 0, 0, 1, 1]/plaud[2, 2, 2, 0, 0]/plain[2, 2, 2, 0, 0]"
infer,5,"react[1, 1, 0, 0, 0]/shoer[0, 0, 0, 2, 2]/egger[1, 0, 0, 2, 2]/piper[0, 1, 0, 2, 2]"
femur,4,"trace[0, 1, 0, 0, 1]/dured[0, 1, 1, 1, 0]/rebus[1, 2, 0, 2, 0]"
grill,5,"trace[0, 2, 0, 0, 0]/drown[0, 2, 0, 0, 0]/krump[0, 2, 0, 0, 0]/frill[0, 2, 2, 2, 2]"
pubic,4,"snare[0, 0, 0, 0, 0]/potto[2, 0, 0, 0, 0]/pluck[2, 0, 1, 1, 0]"
bathe,3,"slate[0, 0, 1, 1, 2]/antre[1, 0, 2, 0, 2]"
snaky,5,"trace[0, 0, 2, 0, 0]/opals[0, 0, 2, 0, 1]/asada[1, 1, 2, 0, 1]/skank[2, 1, 2, 1, 1]"
