Solution,Row#,Guesses[Indices]
draft,5,"crane[0, 2, 2, 0, 0]/frats[1, 2, 2, 1, 0]/trayf[1, 2, 2, 0, 1]/graft[0, 2, 2, 2, 2]"
raven,3,"roast[2, 0, 1, 0, 0]/rafee[2, 2, 0, 2, 1]"
mecca,6,"about[1, 0, 0, 0, 0]/spaza[0, 0, 1, 0, 2]/jagra[0, 1, 0, 0, 2]/villa[0, 0, 0, 0, 2]/hyena[0, 0, 1, 0, 2]"
lanky,4,"anime[1, 1, 0, 0, 0]/nonda[1, 0, 2, 0, 1]/tunas[0, 0, 2, 1, 0]"
elate,7,"crane[0, 0, 2, 0, 2]/glade[0, 2, 2, 0, 2]/flame[0, 2, 2, 0, 2]/blase[0, 2, 2, 0, 2]/alate[1, 2, 2, 2, 2]/plate[0, 2, 2, 2, 2]"
leach,4,"crane[1, 0, 2, 0, 1]/exact[1, 0, 2, 2, 0]/beach[0, 2, 2, 2, 2]"
steal,5,"reast[0, 1, 1, 1, 1]/taste[1, 1, 1, 1, 1]/etnas[1, 2, 0, 2, 1]/stead[2, 2, 2, 2, 0]"
nudge,4,"anime[0, 1, 0, 0, 2]/neeze[2, 1, 1, 0, 2]/noose[2, 0, 0, 0, 2]"
regal,3,"prowl[0, 1, 0, 0, 2]/beryl[0, 2, 1, 0, 2]"
dizzy,5,"about[0, 0, 0, 0, 0]/kirns[0, 2, 0, 0, 0]/gimpy[0, 2, 0, 0, 2]/fizzy[0, 2, 2, 2, 2]"
using,3,"salet[1, 0, 0, 0, 0]/porns[0, 0, 0, 2, 1]"
spree,5,"media[0, 1, 0, 0, 0]/loose[0, 0, 0, 1, 2]/usque[0, 1, 0, 0, 2]/scene[2, 0, 1, 0, 2]"
oxide,4,"slate[0, 0, 0, 0, 2]/boree[0, 1, 0, 1, 2]/evhoe[1, 0, 0, 1, 2]"
maker,5,"atone[1, 0, 0, 0, 1]/keema[1, 1, 1, 1, 1]/fakes[0, 2, 2, 2, 0]/baker[0, 2, 2, 2, 2]"
satin,3,"trace[1, 0, 1, 0, 0]/natis[1, 2, 2, 2, 1]"
owner,4,"crane[0, 1, 0, 1, 1]/under[0, 1, 0, 2, 2]/biner[0, 0, 2, 2, 2]"
route,5,"crane[0, 1, 0, 0, 2]/pirre[0, 0, 1, 1, 2]/rogue[2, 2, 0, 1, 2]/rouse[2, 2, 2, 0, 2]"
leach,3,"crate[1, 0, 2, 0, 1]/emacs[1, 0, 2, 2, 0]"
ample,4,"slate[0, 1, 1, 0, 2]/haole[0, 1, 0, 2, 2]/ancle[2, 0, 0, 2, 2]"
trite,2,"arise[0, 2, 2, 0, 2]"
iliac,5,"prowl[0, 0, 0, 0, 1]/salve[0, 1, 1, 0, 0]/liana[1, 1, 1, 0, 1]/albid[1, 2, 0, 1, 0]"
bongo,5,"cream[0, 0, 0, 0, 0]/plouk[0, 0, 1, 0, 0]/onion[1, 1, 0, 1, 1]/boson[2, 2, 0, 1, 1]"
easel,4,"trace[0, 0, 1, 0, 1]/mesia[0, 1, 2, 0, 1]/gases[0, 2, 2, 2, 1]"
blood,5,"about[0, 1, 2, 0, 0]/globs[0, 2, 2, 1, 0]/bloke[2, 2, 2, 0, 0]/blown[2, 2, 2, 0, 0]"
stone,4,"anime[0, 1, 0, 0, 2]/ornee[1, 0, 1, 1, 2]/shone[2, 0, 2, 2, 2]"
grasp,4,"arise[1, 2, 0, 2, 0]/crass[0, 2, 2, 2, 1]/trash[0, 2, 2, 2, 0]"
draft,3,"snare[0, 0, 2, 1, 0]/crack[0, 2, 2, 0, 0]"
macaw,4,"adieu[1, 0, 0, 0, 0]/motza[2, 0, 0, 0, 1]/marcs[2, 2, 0, 1, 0]"
folly,5,"media[0, 0, 0, 0, 0]/chunk[0, 0, 0, 0, 0]/bobby[0, 2, 0, 0, 2]/lofty[1, 2, 1, 0, 2]"
sheer,4,"react[1, 1, 0, 0, 0]/birse[0, 0, 1, 1, 1]/eyers[1, 0, 2, 1, 1]"
quell,4,"tears[0, 1, 0, 0, 0]/gyved[0, 0, 0, 1, 0]/cleik[0, 1, 2, 0, 0]"
plaid,3,"sauce[0, 1, 0, 0, 0]/dolia[1, 0, 1, 2, 1]"
audio,5,"react[0, 0, 1, 0, 0]/ganof[0, 1, 0, 1, 0]/booai[0, 1, 1, 1, 1]/avoid[2, 0, 1, 2, 1]"
revel,7,"tears[0, 2, 0, 1, 0]/recue[2, 2, 0, 0, 1]/reing[2, 2, 0, 0, 0]/refer[2, 2, 0, 2, 1]/rebel[2, 2, 0, 2, 2]/repel[2, 2, 0, 2, 2]"
rarer,7,"alone[1, 0, 0, 0, 1]/fakes[0, 2, 0, 2, 0]/wager[0, 2, 0, 2, 2]/tater[0, 2, 0, 2, 2]/raper[2, 2, 0, 2, 2]/racer[2, 2, 0, 2, 2]"
ruddy,4,"drape[1, 1, 0, 0, 0]/hydro[0, 1, 2, 1, 0]/ridgy[2, 0, 2, 0, 2]"
disco,5,"cream[1, 0, 0, 0, 0]/sucks[1, 0, 1, 0, 1]/discs[2, 2, 2, 2, 1]/disci[2, 2, 2, 2, 1]"
tawny,4,"sired[0, 0, 0, 0, 0]/plotz[0, 0, 0, 1, 0]/manat[0, 2, 1, 1, 1]"
route,3,"atone[0, 1, 1, 0, 2]/toise[1, 2, 0, 0, 2]"
whack,4,"sired[0, 0, 0, 0, 0]/muhly[0, 0, 1, 0, 0]/kotch[1, 0, 0, 2, 1]"
smell,3,"anime[0, 0, 0, 1, 1]/mutes[1, 0, 0, 1, 1]"
rotor,5,"paint[0, 0, 0, 0, 1]/butes[0, 0, 2, 0, 0]/hotly[0, 2, 2, 0, 0]/rotto[2, 2, 2, 1, 1]"
idiot,5,"atone[0, 1, 1, 0, 0]/borty[0, 1, 0, 1, 0]/optic[1, 0, 1, 1, 0]/gigot[0, 1, 0, 2, 2]"
horse,4,"cream[0, 1, 1, 0, 0]/ruses[1, 0, 1, 1, 1]/perfs[0, 1, 2, 0, 1]"
trail,4,"drape[0, 2, 2, 0, 0]/traga[2, 2, 2, 0, 1]/trawl[2, 2, 2, 0, 2]"
stuff,5,"adieu[0, 0, 0, 0, 1]/rurus[0, 1, 0, 1, 1]/spout[2, 0, 0, 1, 1]/stung[2, 2, 2, 0, 0]"
motif,4,"sired[0, 1, 0, 0, 0]/ajiva[0, 0, 1, 0, 0]/ingot[1, 0, 0, 1, 1]"
flint,5,"snare[0, 1, 0, 0, 0]/poind[0, 0, 2, 2, 0]/clint[0, 2, 2, 2, 2]/glint[0, 2, 2, 2, 2]"
whiff,5,"later[0, 0, 0, 0, 0]/poppy[0, 0, 0, 0, 0]/budis[0, 0, 0, 1, 0]/cinch[0, 1, 0, 0, 1]"
quash,4,"sauce[1, 1, 1, 0, 0]/aglus[1, 0, 0, 1, 1]/kiasu[0, 0, 2, 2, 1]"
plane,4,"roast[0, 0, 2, 0, 0]/champ[0, 0, 2, 0, 1]/peaze[2, 1, 2, 0, 2]"
baggy,4,"media[0, 0, 0, 0, 1]/gravy[1, 0, 1, 0, 2]/laggy[0, 2, 2, 2, 2]"
humor,5,"crane[0, 1, 0, 0, 0]/rooks[1, 1, 1, 0, 0]/floor[0, 0, 1, 2, 2]/tumor[0, 2, 2, 2, 2]"
hinge,5,"drape[0, 0, 0, 0, 2]/toise[0, 0, 1, 0, 2]/mulie[0, 0, 0, 1, 2]/winge[0, 2, 2, 2, 2]"
value,5,"atone[1, 0, 0, 0, 2]/peace[0, 1, 1, 0, 2]/rasse[0, 2, 0, 0, 2]/gauge[0, 2, 1, 0, 2]"
quite,3,"adieu[0, 0, 2, 1, 1]/suite[0, 2, 2, 2, 2]"
fiery,4,"atone[0, 0, 0, 0, 1]/biled[0, 2, 0, 1, 0]/viewy[0, 2, 2, 0, 2]"
alone,3,"crane[0, 0, 1, 2, 2]/atone[2, 0, 2, 2, 2]"
uncut,4,"atone[0, 1, 0, 1, 0]/punts[0, 1, 1, 1, 0]/unwit[2, 2, 0, 0, 2]"
beset,5,"arise[0, 0, 0, 1, 1]/soken[1, 0, 0, 2, 0]/clues[0, 0, 0, 2, 1]/mesem[0, 2, 2, 2, 0]"
mayor,4,"drape[0, 1, 1, 0, 0]/rawks[1, 2, 0, 0, 0]/tarzy[0, 2, 1, 0, 1]"
annul,5,"sauce[0, 1, 1, 0, 0]/kurta[0, 1, 0, 0, 1]/appuy[2, 0, 0, 2, 0]/annum[2, 2, 2, 2, 0]"
given,5,"paint[0, 0, 1, 1, 0]/nemic[1, 1, 0, 1, 0]/sinew[0, 2, 1, 2, 0]/riven[0, 2, 2, 2, 2]"
visit,4,"worse[0, 0, 0, 1, 0]/synch[1, 0, 0, 0, 0]/basis[0, 0, 2, 2, 1]"
steer,5,"media[0, 1, 0, 0, 0]/truer[1, 1, 0, 2, 2]/otter[0, 2, 1, 2, 2]/ether[1, 2, 0, 2, 2]"
pizza,4,"media[0, 0, 0, 1, 2]/quina[0, 0, 1, 0, 2]/tiara[0, 2, 1, 0, 2]"
boxer,7,"tears[0, 1, 0, 1, 0]/grued[0, 1, 0, 2, 0]/plier[0, 0, 0, 2, 2]/joker[0, 2, 0, 2, 2]/rober[1, 2, 1, 2, 2]/bower[2, 2, 0, 2, 2]"
gaffe,5,"snare[0, 0, 1, 0, 2]/togae[0, 0, 1, 1, 2]/gamme[2, 2, 0, 0, 2]/gauze[2, 2, 0, 0, 2]"
sorry,5,"crane[0, 1, 0, 0, 0]/hurry[0, 0, 2, 2, 2]/forty[0, 2, 2, 0, 2]/wordy[0, 2, 2, 0, 2]"
going,3,"irate[1, 0, 0, 0, 0]/finos[0, 1, 1, 1, 0]"
dwarf,3,"react[1, 0, 2, 0, 0]/drain[2, 1, 2, 0, 0]"
state,4,"anime[1, 0, 0, 0, 2]/evade[1, 0, 2, 0, 2]/stare[2, 2, 2, 0, 2]"
silly,6,"snare[2, 0, 0, 0, 0]/stims[2, 0, 1, 0, 1]/succi[2, 0, 0, 0, 1]/sigil[2, 2, 0, 1, 1]/silky[2, 2, 2, 0, 2]"
local,4,"later[2, 1, 0, 0, 0]/loamy[2, 2, 1, 0, 0]/lolas[2, 2, 1, 2, 0]"
liver,5,"snare[0, 0, 0, 1, 1]/rewed[1, 1, 0, 2, 0]/iller[1, 1, 1, 2, 2]/liker[2, 2, 0, 2, 2]"
grown,7,"reast[1, 0, 0, 0, 0]/kirri[0, 0, 1, 1, 0]/donor[0, 1, 1, 1, 1]/frorn[0, 2, 2, 1, 2]/brown[0, 2, 2, 2, 2]/crown[0, 2, 2, 2, 2]"
deign,3,"react[0, 2, 0, 0, 0]/devil[2, 2, 0, 1, 0]"
drive,4,"sired[0, 1, 1, 1, 1]/ordie[0, 2, 1, 1, 2]/bride[0, 2, 2, 1, 2]"
blimp,4,"react[0, 0, 0, 0, 0]/pinup[1, 1, 0, 0, 2]/skimp[0, 0, 2, 2, 2]"
juice,5,"anime[0, 0, 2, 0, 2]/reive[0, 1, 2, 0, 2]/toise[0, 0, 2, 0, 2]/guide[0, 2, 2, 0, 2]"
giant,3,"slate[0, 0, 2, 1, 0]/chapt[0, 0, 2, 0, 2]"
parka,3,"worse[0, 0, 2, 0, 0]/barmy[0, 2, 2, 0, 0]"
dryly,4,"snare[0, 0, 0, 1, 0]/roofy[1, 0, 0, 0, 2]/crudy[0, 2, 0, 1, 2]"
betel,4,"slate[0, 1, 0, 1, 1]/luted[1, 0, 2, 2, 0]/hotel[0, 0, 2, 2, 2]"
scowl,7,"cream[1, 0, 0, 0, 0]/sonic[2, 1, 0, 0, 1]/scudo[2, 2, 0, 0, 1]/scoff[2, 2, 2, 0, 0]/scoop[2, 2, 2, 1, 0]/scows[2, 2, 2, 2, 1]"
debit,3,"sired[0, 1, 0, 1, 1]/guide[0, 0, 1, 1, 1]"
dodgy,7,"anime[0, 0, 0, 0, 0]/torsk[0, 2, 0, 0, 0]/boozy[0, 2, 1, 0, 2]/jolly[0, 2, 0, 0, 2]/doddy[2, 2, 2, 1, 2]/dowdy[2, 2, 0, 1, 2]"
toast,3,"reast[0, 0, 2, 2, 2]/clast[0, 0, 2, 2, 2]"
plumb,4,"cream[0, 0, 0, 0, 1]/stims[0, 0, 0, 2, 0]/gummy[0, 1, 1, 2, 0]"
giver,7,"slate[0, 0, 0, 0, 1]/freon[0, 1, 1, 0, 0]/perch[0, 1, 1, 0, 0]/wider[0, 2, 0, 2, 2]/viver[1, 2, 2, 2, 2]/river[1, 2, 2, 2, 2]"
niche,4,"atone[0, 0, 0, 1, 2]/genie[0, 1, 1, 1, 2]/insee[1, 1, 0, 1, 2]"
abhor,4,"tears[0, 0, 1, 1, 0]/purda[0, 0, 1, 0, 1]/nazir[0, 1, 0, 0, 2]"
biome,3,"media[1, 1, 0, 1, 0]/times[0, 2, 1, 1, 0]"
paste,7,"about[1, 0, 0, 0, 1]/retax[0, 1, 1, 1, 0]/nante[0, 2, 0, 2, 2]/haste[0, 2, 2, 2, 2]/taste[1, 2, 2, 2, 2]/caste[0, 2, 2, 2, 2]"
saute,5,"worse[0, 0, 0, 1, 2]/snipe[2, 0, 0, 0, 2]/sadhe[2, 2, 0, 0, 2]/sauce[2, 2, 2, 0, 2]"
swell,6,"atone[0, 0, 0, 0, 1]/dreer[0, 0, 2, 1, 0]/meech[0, 1, 2, 0, 0]/gleys[0, 1, 2, 0, 1]/spell[2, 0, 2, 2, 2]"
valve,4,"cream[0, 0, 1, 1, 0]/leave[1, 1, 1, 2, 2]/halve[0, 2, 2, 2, 2]"
knoll,3,"sired[0, 0, 0, 0, 0]/clank[0, 1, 0, 1, 1]"
thank,3,"slate[0, 0, 2, 1, 0]/traga[2, 0, 2, 0, 1]"
shall,6,"cream[0, 0, 0, 1, 0]/ngana[0, 0, 2, 0, 1]/koaps[0, 0, 2, 0, 1]/staff[2, 0, 2, 0, 0]/shash[2, 2, 2, 1, 1]"
prawn,5,"arise[1, 2, 0, 0, 0]/tramp[0, 2, 2, 0, 1]/drapy[0, 2, 2, 1, 0]/prank[2, 2, 2, 1, 0]"
ulcer,3,"cream[1, 1, 1, 0, 0]/riced[1, 0, 2, 2, 0]"
pluck,5,"prowl[2, 0, 0, 0, 1]/plasm[2, 2, 0, 0, 0]/pluke[2, 2, 2, 1, 0]/plunk[2, 2, 2, 0, 2]"
mason,5,"reast[0, 0, 1, 1, 0]/bawds[0, 2, 0, 0, 1]/sally[1, 2, 0, 0, 0]/pasag[0, 2, 2, 1, 0]"
peace,3,"react[0, 2, 2, 2, 0]/leach[0, 2, 2, 2, 0]"
tally,3,"react[0, 0, 1, 0, 1]/tails[2, 2, 0, 2, 0]"
clone,5,"media[0, 1, 0, 0, 0]/royne[0, 1, 0, 2, 2]/shone[0, 0, 2, 2, 2]/ozone[1, 0, 2, 2, 2]"
cabin,4,"adieu[1, 0, 1, 0, 0]/kivas[0, 1, 0, 1, 0]/zayin[0, 2, 0, 2, 2]"
bowel,4,"paint[0, 0, 0, 0, 0]/clomb[0, 1, 1, 0, 1]/bello[2, 1, 1, 1, 1]"
afire,3,"media[0, 1, 0, 1, 1]/vaire[0, 1, 2, 2, 2]"
flank,6,"worse[0, 0, 0, 0, 0]/minny[0, 0, 1, 2, 0]/alang[1, 2, 2, 2, 0]/blank[0, 2, 2, 2, 2]/clank[0, 2, 2, 2, 2]"
chili,5,"alone[0, 1, 0, 0, 0]/cully[2, 0, 1, 2, 0]/child[2, 2, 2, 2, 0]/chill[2, 2, 2, 2, 1]"
wharf,4,"crate[0, 1, 2, 0, 0]/diary[0, 0, 2, 2, 0]/snarl[0, 0, 2, 2, 0]"
friar,4,"snare[0, 0, 1, 1, 0]/taroc[0, 1, 1, 0, 0]/fubar[2, 0, 0, 2, 2]"
braid,4,"drape[1, 2, 2, 0, 0]/fraud[0, 2, 2, 0, 2]/grand[0, 2, 2, 0, 2]"
dwelt,5,"react[0, 1, 0, 0, 2]/filet[0, 0, 1, 1, 2]/smelt[0, 0, 2, 2, 2]/knelt[0, 0, 2, 2, 2]"
filer,5,"snare[0, 0, 0, 1, 1]/decor[0, 1, 0, 0, 2]/liver[1, 2, 0, 2, 2]/miler[0, 2, 2, 2, 2]"
shave,5,"paint[0, 1, 0, 0, 0]/adorb[1, 0, 0, 0, 0]/quake[0, 0, 2, 0, 2]/leave[0, 1, 2, 2, 2]"
steep,4,"crane[0, 0, 0, 0, 1]/bless[0, 0, 2, 1, 1]/sweys[2, 0, 2, 0, 1]"
choir,4,"slate[0, 0, 0, 0, 0]/civvy[2, 1, 0, 0, 0]/chirp[2, 2, 1, 1, 0]"
randy,5,"atone[1, 0, 0, 1, 0]/pyran[0, 1, 1, 1, 1]/snary[0, 1, 1, 1, 2]/rangy[2, 2, 2, 0, 2]"
gloom,4,"worse[0, 1, 0, 0, 0]/quoad[0, 0, 2, 0, 0]/klong[0, 2, 2, 0, 1]"
halve,4,"media[0, 1, 0, 0, 1]/false[0, 2, 2, 0, 2]/valve[1, 2, 2, 2, 2]"
fiber,4,"about[0, 1, 0, 0, 0]/blimp[1, 0, 1, 0, 0]/nibby[0, 2, 2, 1, 0]"
livid,5,"crane[0, 0, 0, 0, 0]/upbow[0, 0, 0, 0, 0]/gliff[0, 1, 1, 0, 0]/limit[2, 2, 0, 2, 0]"
radar,5,"salet[0, 2, 0, 0, 0]/namad[0, 2, 0, 2, 1]/karoo[0, 2, 1, 0, 0]/jagir[0, 2, 0, 0, 2]"
tenor,2,"later[0, 0, 1, 1, 2]"
bible,6,"adieu[0, 0, 1, 1, 0]/gimme[0, 2, 0, 0, 2]/sieve[0, 2, 1, 0, 2]/fixie[0, 2, 0, 1, 2]/lithe[1, 2, 0, 0, 2]"
eying,4,"irate[1, 0, 0, 0, 1]/yield[1, 1, 1, 0, 0]/peisy[0, 1, 2, 0, 1]"
octal,6,"tears[1, 0, 1, 0, 0]/nanty[0, 1, 0, 1, 0]/atilt[1, 1, 0, 1, 1]/bloat[0, 1, 1, 2, 1]/dotal[0, 1, 2, 2, 2]"
rocky,4,"arise[0, 1, 0, 0, 0]/dolor[0, 2, 0, 1, 1]/robbo[2, 2, 0, 0, 1]"
welsh,3,"prowl[0, 0, 0, 1, 1]/walis[2, 0, 2, 0, 1]"
scene,3,"reast[0, 1, 0, 1, 0]/hopes[0, 0, 0, 1, 1]"
pulpy,3,"paint[2, 0, 0, 0, 0]/purls[2, 2, 0, 1, 0]"
grill,5,"later[1, 0, 0, 0, 1]/nurls[0, 0, 1, 2, 0]/drill[0, 2, 2, 2, 2]/frill[0, 2, 2, 2, 2]"
ghoul,3,"reast[0, 0, 0, 0, 0]/hough[1, 1, 1, 1, 1]"
whack,6,"reast[0, 0, 2, 0, 0]/viand[0, 0, 2, 0, 0]/myall[0, 0, 2, 0, 0]/quack[0, 0, 2, 2, 2]/chack[1, 2, 2, 2, 2]"
outdo,4,"prowl[0, 0, 1, 0, 0]/bonus[0, 1, 0, 1, 0]/udyog[1, 1, 0, 1, 0]"
lunge,4,"reast[0, 1, 0, 0, 0]/dynel[0, 0, 2, 1, 1]/longe[2, 0, 2, 2, 2]"
group,5,"snare[0, 0, 0, 1, 0]/wroot[0, 2, 2, 1, 0]/broil[0, 2, 2, 0, 0]/froyo[0, 2, 2, 0, 1]"
south,4,"paint[0, 0, 0, 0, 1]/temes[1, 0, 0, 0, 1]/dusty[0, 1, 1, 2, 0]"
angle,5,"drape[0, 0, 1, 0, 2]/nante[1, 1, 1, 0, 2]/avine[2, 0, 0, 1, 2]/anele[2, 2, 1, 2, 2]"
slyly,6,"sired[2, 0, 0, 0, 0]/sangs[2, 0, 0, 0, 1]/stoop[2, 0, 0, 0, 0]/skull[2, 0, 0, 2, 1]/shyly[2, 0, 2, 2, 2]"
abled,4,"crate[0, 0, 1, 0, 1]/lezza[1, 1, 0, 0, 1]/ables[2, 2, 2, 2, 0]"
sunny,3,"crate[0, 0, 0, 0, 0]/bluds[0, 0, 1, 0, 1]"
flair,4,"prowl[0, 1, 0, 0, 1]/belar[0, 0, 1, 1, 2]/glair[0, 2, 2, 2, 2]"
ghoul,3,"about[0, 0, 2, 2, 0]/croup[0, 0, 2, 2, 0]"
hover,9,"crate[0, 1, 0, 0, 1]/fewer[0, 1, 0, 2, 2]/egger[1, 0, 0, 2, 2]/joker[0, 2, 0, 2, 2]/boxer[0, 2, 0, 2, 2]/roper[1, 2, 0, 2, 2]/hoser[2, 2, 0, 2, 2]/homer[2, 2, 0, 2, 2]"
prank,6,"sauce[0, 1, 0, 0, 0]/float[0, 0, 0, 1, 0]/drapy[0, 2, 2, 1, 0]/prang[2, 2, 2, 2, 0]/prana[2, 2, 2, 2, 1]"
icing,5,"anime[0, 1, 2, 0, 0]/dying[0, 0, 2, 2, 2]/ruing[0, 0, 2, 2, 2]/thing[0, 0, 2, 2, 2]"
tweak,4,"drape[0, 0, 1, 0, 1]/zoeal[0, 0, 2, 2, 0]/wheat[1, 0, 2, 2, 1]"
retry,6,"sauce[0, 0, 0, 0, 1]/embed[1, 0, 0, 1, 0]/feyly[0, 2, 1, 0, 2]/weepy[0, 2, 1, 0, 2]/deity[0, 2, 0, 1, 2]"
grain,3,"irate[1, 2, 2, 0, 0]/graip[2, 2, 2, 2, 0]"
niece,5,"paint[0, 0, 1, 1, 0]/zings[0, 2, 1, 0, 0]/likin[0, 2, 0, 1, 1]/nixed[2, 2, 0, 1, 0]"
slosh,3,"alone[0, 2, 2, 0, 0]/glost[0, 2, 2, 2, 0]"
razor,3,"roast[2, 1, 1, 0, 0]/rayon[2, 2, 0, 2, 0]"
outdo,4,"paint[0, 0, 0, 0, 1]/thole[1, 0, 1, 0, 0]/dowts[1, 1, 0, 1, 0]"
fraud,3,"adieu[1, 1, 0, 0, 1]/scaud[0, 0, 2, 2, 2]"
dealt,3,"irate[0, 0, 2, 1, 1]/teals[1, 2, 2, 2, 0]"
check,3,"trace[0, 0, 0, 2, 1]/leuch[0, 1, 0, 2, 1]"
sieve,5,"reast[0, 1, 0, 1, 0]/scone[2, 0, 0, 0, 2]/spike[2, 0, 1, 0, 2]/siege[2, 2, 2, 0, 2]"
prude,3,"arise[0, 2, 0, 0, 2]/drupe[1, 2, 2, 1, 2]"
skate,5,"prowl[0, 0, 0, 0, 0]/kebab[1, 1, 0, 1, 0]/jakey[0, 1, 1, 1, 0]/ukase[0, 2, 2, 1, 2]"
froth,3,"trace[1, 2, 0, 0, 0]/grits[0, 2, 0, 2, 0]"
mover,10,"arise[0, 1, 0, 0, 1]/exert[1, 0, 1, 1, 0]/defer[0, 1, 0, 2, 2]/ogler[1, 0, 0, 2, 2]/rober[1, 2, 0, 2, 2]/poker[0, 2, 0, 2, 2]/corer[0, 2, 1, 2, 2]/voter[1, 2, 0, 2, 2]/hover[0, 2, 2, 2, 2]"
